Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",208.280000,-106.680000,180.000000,top
"C2","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",199.847200,-108.610400,0.000000,top
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",193.903600,-105.460800,0.000000,top
"C4","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.604400,-105.918000,180.000000,top
"C5","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",187.350400,-109.982000,0.000000,top
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",205.638400,-109.423200,180.000000,top
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",184.505600,-105.713700,90.000000,top
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",192.736300,-107.442000,0.000000,top
"C9","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",185.776700,-101.549200,0.000000,top
"C10","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",203.149200,-101.142800,0.000000,top
"C11","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.690900,-103.479600,180.000000,top
"R1","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",182.880000,-104.140000,90.000000,top
"R2","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.216000,-105.664000,180.000000,top
"R3","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",192.127500,-109.220000,0.000000,top
"R4","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",202.996800,-108.305600,90.000000,top
"R5","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.553600,-107.696000,0.000000,top
"R6","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.967500,-109.220000,0.000000,top
"R7","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.200000,-96.520000,90.000000,top
"R8","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.740000,-99.060000,-90.000000,top
"R9","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",199.747500,-101.600000,90.000000,top
"R10","R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",187.096400,-98.958400,180.000000,top
"U1","ADS122C04IPW","SOP65P640X120-16N",193.370000,-101.275000,0.000000,top
